,기간,자치구,공교육 만족도,사교육 만족도,사교육 수준 만족도,사교육 비용만족도,사교육 접근성 만족도
142,2018,금천구,5.14,4.86,5.29,4.56,4.73
143,2018,영등포구,5.57,5.44,5.64,4.58,6.11
144,2018,동작구,3.77,4.69,4.4,3.94,5.72
145,2018,관악구,5.34,4.83,5.0,4.23,5.26
146,2018,서초구,6.05,5.9,6.65,4.23,6.82
147,2018,강남구,6.02,5.78,6.35,4.36,6.64
148,2018,송파구,5.63,5.57,6.21,4.33,6.18
149,2018,강동구,5.67,5.83,6.34,4.73,6.43
150,2019,종로구,5.73,5.52,5.78,4.56,6.21
151,2019,중구,5.33,5.24,5.31,4.92,5.5
152,2019,용산구,5.08,5.37,5.34,4.99,5.77
153,2019,성동구,6.02,5.7,5.95,4.85,6.29
154,2019,광진구,5.4,5.49,5.89,4.52,6.05
155,2019,동대문구,5.46,5.32,5.57,4.22,6.16
156,2019,중랑구,5.23,5.13,5.46,4.41,5.51
157,2019,성북구,3.9,4.71,5.27,3.76,5.11
158,2019,강북구,4.37,4.73,5.34,3.6,5.26
159,2019,도봉구,6.14,5.65,6.05,4.73,6.18
160,2019,노원구,4.98,4.89,5.33,3.85,5.48
161,2019,은평구,4.78,5.1,5.32,3.89,6.09
162,2019,서대문구,5.33,5.75,5.9,4.97,6.39
163,2019,마포구,4.92,4.82,5.05,4.08,5.33
164,2019,양천구,5.79,5.52,5.78,5.06,5.72
165,2019,강서구,5.67,5.57,5.65,4.71,6.36
166,2019,구로구,5.52,5.62,5.95,4.58,6.33
167,2019,금천구,6.0,5.28,5.63,4.84,5.38
168,2019,영등포구,5.89,5.19,5.33,4.22,6.03
169,2019,동작구,5.26,5.39,5.63,4.55,5.99
170,2019,관악구,5.39,5.27,5.72,4.32,5.77
171,2019,서초구,5.54,5.21,5.76,3.95,5.92
172,2019,강남구,6.26,5.8,6.18,4.82,6.39
173,2019,송파구,5.91,5.69,6.0,4.82,6.26
174,2019,강동구,5.48,5.65,5.96,4.94,6.04
175,2020,종로구,5.23,5.48,6.63,4.1,5.71
176,2020,중구,5.21,5.31,6.43,4.16,5.34
