,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA,relief_WAR
255,256.0,김종석,1964-07-15,Lotte Giants,1988,20.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,55.0,35.0,29.0,249.0,62.0,0.0,0.0,2.0,29.0,0.0,3.0,23.0,1.0,0.0,4.75,3.96,1.66,80.7,96.7,0.41,0.0,0.14
256,257.0,예병준,1962-03-12,MBC Blue Dragons,1987,15.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,39.2,23.0,17.0,170.0,46.0,0.0,0.0,2.0,10.0,0.0,1.0,11.0,1.0,1.0,3.86,3.4,1.41,89.3,101.3,0.4,0.0,0.14
257,258.0,김성한,1958-05-18,Haitai Tigers,1983,4.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,17.1,6.0,4.0,71.0,13.0,0.0,0.0,1.0,5.0,0.0,1.0,8.0,0.0,0.0,2.08,2.92,1.04,156.6,111.3,0.4,0.0,0.14
258,259.0,김종석,1964-07-15,Lotte Giants,1987,13.0,1.0,1.0,7.0,1.0,4.0,0.0,0.0,42.2,22.0,20.0,192.0,48.0,0.0,0.0,3.0,20.0,1.0,2.0,16.0,0.0,3.0,4.22,4.11,1.59,83.8,86.0,0.39,0.0,0.14
259,260.0,김상기,1961-03-03,Samsung Lions,1984,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.1,9.0,7.0,94.0,24.0,0.0,0.0,1.0,7.0,0.0,3.0,5.0,0.0,0.0,2.82,3.62,1.39,118.9,92.7,0.39,0.0,0.13
260,261.0,방수원,1960-01-04,Haitai Tigers,1985,10.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,23.1,9.0,9.0,96.0,16.0,0.0,0.0,2.0,13.0,1.0,1.0,9.0,0.0,0.0,3.47,4.23,1.24,100.6,82.5,0.38,0.0,0.13
261,262.0,전용권,1961-04-12,Samsung Lions,1986,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,28.2,13.0,12.0,117.0,24.0,0.0,0.0,2.0,12.0,1.0,1.0,7.0,0.0,2.0,3.77,3.75,1.26,82.1,82.5,0.38,0.0,0.13
262,263.0,박상열,1955-08-05,OB Bears,1986,17.0,1.0,0.0,7.0,0.0,6.0,1.0,0.0,64.1,31.0,28.0,278.0,66.0,0.0,0.0,3.0,28.0,0.0,6.0,15.0,0.0,1.0,3.92,3.8,1.46,75.9,78.2,0.38,0.0,0.13
263,264.0,박상열,1955-08-05,OB Bears,1987,16.0,0.0,0.0,8.0,3.0,3.0,1.0,0.0,58.2,32.0,25.0,273.0,73.0,0.0,0.0,2.0,26.0,0.0,3.0,15.0,1.0,0.0,3.84,3.88,1.69,89.6,88.6,0.35,0.0,0.13
264,265.0,문희수,1965-03-15,Haitai Tigers,1984,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,6.0,6.0,55.0,12.0,0.0,0.0,0.0,5.0,0.0,1.0,14.0,0.0,1.0,4.26,1.35,1.34,77.3,243.9,0.33,0.0,0.12
